config,window,model,mag_rmse,mag_mae,time_hour_rmse,time_hour_mae,time_hour_asymmetric_rmse,time_hour_hit_rate,score_proxy
both_500_lr003,T1,baseline,0.18869474678135315,0.06108422546553057,3.066535384173887,1.5992570211094275,3.357992740147164,0.8420382165605096,0.32861111095415163
both_500_lr003,T1,xgboost,0.18663540107833404,0.057452993945717505,3.040865274042789,1.5207053596963622,3.278394747478344,0.8453503184713376,0.3232351822232651
both_500_lr003,T2,baseline,0.3398321861499759,0.10241516664049052,9.529419974259106,5.572523791628016,11.1046099892013,0.7337579617834394,0.8025242690333634
both_500_lr003,T2,xgboost,0.33956225292926656,0.09632997126958673,9.252137133176216,5.244706427370896,10.739554208366025,0.728407643312102,0.7870436782778509
both_500_lr003,T3,baseline,2.025329983907237,1.5269575170471559,19.21549819592599,12.909393980207598,22.953258027592717,0.7821656050955414,2.981715735056934
both_500_lr003,T3,xgboost,1.9889226860031468,1.4995905111614165,18.413546390695576,11.465246753655915,21.996373420957646,0.7836942675159235,2.9054382452097154
both_500_lr003_asym2,T1,baseline,0.18880346668250578,0.061211057226827736,2.8787778833756996,1.500733123044191,3.219168544080435,0.8443312101910828,0.3229354893525239
both_500_lr003_asym2,T1,xgboost,0.18663540107833404,0.057452993945717505,3.040865274042789,1.5207053596963622,3.278394747478344,0.8453503184713376,0.3232351822232651
both_500_lr003_asym2,T2,baseline,0.33983355828306167,0.10259745991185636,10.653836702290464,6.138148425164369,12.807911211552968,0.7245859872611465,0.873496525431102
both_500_lr003_asym2,T2,xgboost,0.33956225292926656,0.09632997126958673,9.252137133176216,5.244706427370896,10.739554208366025,0.728407643312102,0.7870436782778509
both_500_lr003_asym2,T3,baseline,2.025520559644802,1.5269759547028434,20.352758886569646,13.490690686334322,24.255015890171954,0.7732484076433122,3.0361462217353
both_500_lr003_asym2,T3,xgboost,1.9889226860031468,1.4995905111614165,18.413546390695576,11.465246753655915,21.996373420957646,0.7836942675159235,2.9054382452097154
both_500_lr005,T1,baseline,0.19428882533846675,0.06781194286560523,3.1135863919388527,1.6347530879209835,3.413470289684727,0.8410191082802547,0.3365167540753304
both_500_lr005,T1,xgboost,0.18880739754916598,0.057476258312206666,3.0320533229886855,1.5233128427539162,3.2841898359072133,0.8430573248407643,0.32564864071196653
both_500_lr005,T2,baseline,0.3490938019515031,0.11096123574604268,9.645764465916598,5.645536114208702,11.236265845813048,0.7327388535031847,0.8172715455270467
both_500_lr005,T2,xgboost,0.344085829022485,0.09772133703264983,9.274974703953113,5.254935671013552,10.734131008251325,0.732484076433121,0.7913412876996235
both_500_lr005,T3,baseline,2.030185975645938,1.5264428557847556,19.347349141094266,13.10294646605097,23.10737899005952,0.7831847133757962,2.992993433565085
both_500_lr005,T3,xgboost,2.01640538913019,1.5183902421216262,18.509389353362575,11.505916403645797,22.10619774740041,0.782420382165605,2.9374969619385407
both_800_lr002,T1,baseline,0.18828403674734723,0.06158902107783353,3.067919130487219,1.6006512921488996,3.354489707155478,0.8440764331210191,0.32805444121215876
both_800_lr002,T1,xgboost,0.1874708559731269,0.05627897220490691,3.0331336514470113,1.5202299782434694,3.2670178167999873,0.846624203821656,0.32359659833979304
both_800_lr002,T2,baseline,0.340642028702074,0.10350270935127329,9.556908510061549,5.601820058155162,11.147340631806928,0.7322292993630574,0.8051145550273626
both_800_lr002,T2,xgboost,0.3388375284580366,0.09574873044549244,9.239211009691632,5.248843206455917,10.726846343214016,0.7314649681528662,0.7857894594252872
both_800_lr002,T3,baseline,2.0168334909257877,1.5141842268279126,19.247605033773915,12.928335319709097,23.00787108800399,0.7814012738853503,2.9754947862592873
both_800_lr002,T3,xgboost,1.9936694948595803,1.5060620753813103,18.415655397896835,11.482302669890307,22.010129020331725,0.7826751592356688,2.910758204040069
lgbm_500_lr003,T1,baseline,0.1886588601364675,0.06111324925641223,3.0664312368632247,1.5991687519454927,3.358065216161629,0.8422929936305732,0.328578244143202
lgbm_500_lr003,T2,baseline,0.339782792380742,0.10239356733982212,9.519174278761279,5.566676498749462,11.095011185766637,0.7329936305732484,0.8020749251210185
lgbm_500_lr003,T3,baseline,2.025471150520698,1.5269975272342207,19.215446914841763,12.909089477341281,22.953088456624627,0.7821656050955414,2.981849836213391
lgbm_500_lr003_asym2,T1,baseline,0.18878327470160472,0.06110946253378985,2.878096988429901,1.5002234519496571,3.218224619034264,0.8438216560509554,0.3228759671613657
lgbm_500_lr003_asym2,T2,baseline,0.33977660612136934,0.10255106710437122,10.656618702231189,6.141579315485627,12.813811122524424,0.7261146496815286,0.8736854028932204
lgbm_500_lr003_asym2,T3,baseline,2.025360045766134,1.5269042136390687,20.35054716184237,13.490998946862865,24.25608430823097,0.7732484076433122,3.036030225275758
lgbm_500_lr005,T1,baseline,0.19477142510891357,0.06771860271538427,3.1114044507304315,1.6329877377768505,3.4091648675257633,0.8412738853503184,0.33681996125582037
lgbm_500_lr005,T2,baseline,0.34914928197457734,0.11097956231391073,9.64829824085097,5.646579225188048,11.23945757102584,0.7322292993630574,0.817460014100654
lgbm_500_lr005,T3,baseline,2.0301442601152417,1.5263172492638666,19.345931185886712,13.100504019278175,23.105580002939167,0.7831847133757962,2.992876760237707
lgbm_800_lr002,T1,baseline,0.1879775346601473,0.061366201491304596,3.0690288050902055,1.6016404334962013,3.3554666788185017,0.8443312101910828,0.32778864627758486
lgbm_800_lr002,T2,baseline,0.34064031515548593,0.10350216120180025,9.556571752100254,5.601478364290288,11.147079045795557,0.732484076433121,0.8051019420636342
lgbm_800_lr002,T3,baseline,2.0175168851021836,1.5145747920087902,19.245768767776557,12.92753628925263,23.005286979800882,0.7814012738853503,2.9760705092605537
